Titles,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,International,Romance,Horror,Mystery,Documentary
Mamma Mia!,PG13,54,66,6.4,51,144130063,2008,0,0,0,0,1,0,0,1,0,0,0
Appaloosa,R,77,54,6.8,64,20211394,2008,1,0,0,0,0,0,0,0,0,0,0
Wanted,R,71,69,6.7,64,134508551,2008,1,0,0,1,0,0,0,0,0,1,0
Punisher: War Zone,R,27,42,6,30,8050977,2008,1,0,0,0,0,1,0,0,0,1,0
Quantum of Solace,PG13,65,58,6.6,58,169368427,2008,1,0,0,0,0,1,0,0,0,1,0
Revolutionary Road,R,68,71,7.3,69,22911480,2008,0,0,0,0,0,1,0,0,0,0,0
Lakeview Terrace,PG13,45,39,6.1,47,39263506,2008,0,0,0,0,0,1,0,0,0,1,0
Inglourious Basterds,R,88,87,8.3,69,120774594,2009,1,0,0,0,0,1,0,0,0,0,0
World's Greatest Dad,R,89,67,6.9,69,221805,2009,0,0,0,0,1,1,0,0,0,0,0
Crazy Heart,R,91,76,7.3,83,39471742,2009,0,0,0,0,0,1,0,1,0,0,0
Post Grad,PG13,8,27,5.3,35,6380019,2009,0,0,0,0,1,0,0,0,0,0,0
The Time Traveler's Wife,PG13,38,59,7.1,47,63414846,2009,0,0,0,1,0,1,0,1,0,0,0
Up,PG,98,90,8.3,88,293004164,2009,1,1,1,0,1,0,0,0,0,0,0
I Love You Phillip Morris,R,72,61,6.6,65,2037459,2009,0,0,0,0,1,1,0,0,0,0,0
G-Force,PG,23,39,5.1,41,119436770,2009,1,0,1,1,1,0,0,0,0,0,0
The Soloist,PG13,56,56,6.7,61,31720158,2009,0,0,0,0,0,1,0,0,0,0,0
Saw VI,R,39,55,6,30,27693292,2009,0,0,0,0,0,0,0,0,1,1,0
12 Rounds,PG13,30,45,5.6,38,12234694,2009,1,0,0,0,0,0,0,0,0,1,0
The Men Who Stare at Goats,R,52,39,6.2,54,32428195,2009,0,0,0,0,1,1,0,0,0,0,0
Surrogates,PG13,38,38,6.3,45,38577772,2009,1,0,0,1,1,0,0,0,0,1,0
The Unborn,PG13,10,30,4.8,30,42670410,2009,0,0,0,0,0,0,0,0,1,1,0
A Christmas Carol,PG,54,58,6.8,55,137855863,2009,0,1,1,1,0,1,0,0,0,0,0
MacGruber,R,47,34,5.5,43,8525600,2010,1,0,0,0,1,0,0,0,0,0,0
The Switch,PG13,51,44,6.1,52,27758465,2010,0,0,0,0,1,1,0,1,0,0,0
The Tourist,PG13,20,42,6,37,67631157,2010,1,0,0,0,0,0,0,1,0,1,0
Edge of Darkness,R,56,49,6.6,55,43313890,2010,0,0,0,0,0,1,0,0,0,1,0
The Tempest,PG13,31,28,5.4,43,277943,2010,0,0,0,1,1,1,0,0,0,0,0
Little Fockers,PG13,9,34,5.5,27,148438600,2010,0,0,0,0,1,0,0,0,0,0,0
The Chronicles of Narnia: The Voyage of the Dawn Treader,PG,50,58,6.3,53,104386950,2010,1,0,1,1,0,0,0,0,0,0,0
TRON: Legacy,PG,51,63,6.8,49,172062763,2010,1,0,0,1,0,0,0,0,0,0,0
The Conspirator,PG13,55,61,6.9,55,11538204,2010,0,0,0,0,0,1,0,0,0,0,0
Freakonomics,PG13,66,51,6.4,58,101270,2010,0,0,0,0,0,0,0,0,0,0,1
Why Did I Get Married Too?,PG13,27,67,4.5,43,60095852,2010,0,0,0,0,1,1,0,0,0,0,0
Devil,PG13,52,43,6.2,44,33679655,2010,0,0,0,0,0,0,0,0,1,1,0
Unstoppable,PG13,86,72,6.8,69,81562942,2010,1,0,0,0,0,1,0,0,0,1,0
Shrek Forever After,PG,58,54,6.3,58,238736787,2010,1,1,1,1,1,0,0,0,0,0,0
For Colored Girls,R,32,73,6,50,37729698,2010,0,0,0,0,0,1,0,0,0,0,0
Paul,R,71,62,7,57,37412945,2011,0,0,0,1,1,0,1,0,0,0,0
5 Days of War,R,32,36,5.6,31,17479,2011,1,0,0,0,0,1,0,0,0,0,0
Mission: Impossible - Ghost Protocol,PG13,93,76,7.4,73,209397903,2011,1,0,0,0,0,0,0,0,0,1,0
Drive Angry,R,46,37,5.4,44,10721033,2011,1,0,0,0,0,0,0,0,0,1,0
A Very Harold & Kumar Christmas,R,68,59,6.3,61,35061031,2011,0,0,0,0,1,0,0,0,0,0,0
In Time,PG13,35,51,6.7,53,37553932,2011,0,0,0,1,0,0,0,0,0,1,0
Soul Surfer,PG,46,76,7.1,53,43853424,2011,1,0,0,0,0,1,0,0,0,0,0
Friends With Benefits,R,69,65,6.6,63,55802754,2011,0,0,0,0,1,0,0,0,0,0,0
Apollo 18,PG13,24,23,5.2,24,17686929,2011,0,0,0,1,0,0,0,0,1,0,0
The Sitter,R,22,39,5.7,39,30542576,2011,0,0,0,0,1,0,0,0,0,0,0
Sanctum,R,30,37,5.9,42,23209310,2011,1,0,0,0,0,1,0,0,0,1,0
The Hangover Part II,R,33,52,6.5,44,254464305,2011,0,0,0,0,1,0,0,0,0,0,0
We Need to Talk About Kevin,R,76,78,7.5,68,1738692,2011,0,0,0,0,0,1,0,0,0,1,0
The Adjustment Bureau,PG13,71,67,7.1,60,62495645,2011,0,0,0,1,0,0,0,1,0,0,0
Water for Elephants,PG13,60,70,6.9,52,58709717,2011,0,0,0,0,0,1,0,0,0,0,0
The Guilt Trip,PG13,38,39,5.8,50,37134215,2012,0,0,0,0,1,0,0,0,0,0,0
The Master,R,85,61,7.1,86,16247159,2012,0,0,0,0,0,1,0,0,0,0,0
Chernobyl Diaries,R,18,28,5,32,18119640,2012,0,0,0,0,0,1,0,0,1,0,0
Pitch Perfect,PG13,80,83,6.4,66,65001093,2012,0,0,0,0,1,0,0,0,0,0,0
One for the Money,PG13,2,42,5.3,22,26414527,2012,0,0,0,0,1,1,0,0,0,1,0
The Cold Light of Day,PG13,5,29,4.9,22,3763583,2012,1,0,0,0,0,0,0,0,0,1,0
This Is 40,R,51,50,6.2,59,67544505,2012,0,0,0,0,1,0,0,0,0,0,0
