,Title,Rating,RTCritic,RTFan,IMDb,Metacritic,BoxOffice,Year,Action,Animation,Family,Scifi,Comedy,Drama,Romance,Horror,Mystery,title,budget,popularity,production_companies,release_date,revenue,runtime,status,tagline,vote_average,vote_count,allFans,allCritics,aggregate_rating,profit_pct,profit_margin
47,Dave Chappelle's Block Party,R,92,73,72.0,84,14.2966859,2005,0,0,0,0,1,0,0,0,0,Dave Chappelle's Block Party,3.66,2.092791,"[{'name': 'Yari Film Group', 'id': 2448}]",2005-09-12,11718595.0,100.0,Released,,6.5,29.0,72.5,88.0,80.25,3.906198333333333,0.7439966139285469
48,Cheaper by the Dozen 2,PG,6,57,55.0,34,100.73683106,2005,0,0,1,0,1,0,0,0,0,Cheaper by the Dozen 2,73.2,7.101422,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': '21 Laps Entertainment', 'id': 2575}, {'name': 'Dozen Canada Productions', 'id': 87840}]",2005-12-21,129181830.0,94.0,Released,Same Big Family... Even Bigger Adventure.,5.8,542.0,56.0,20.0,38.0,1.3761862166666665,0.27335415230203886
49,Sky High,PG,73,57,62.0,62,78.00613388,2005,1,0,1,1,1,0,0,0,0,Sky High,42.7,8.061423,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Gunn Films', 'id': 3538}, {'name': 'Max Stronghold Productions Inc.', 'id': 56980}]",2005-07-29,86369815.0,100.0,Released,Saving The World... One Homework Assignment At A Time.,5.8,568.0,59.5,67.5,63.5,1.8268415428571425,0.4526071492571706
50,Hoodwinked!,PG,47,56,65.0,45,62.69166542,2005,0,1,1,0,1,0,0,0,0,Hoodwinked!,18.3,6.398984,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Kanbar Entertainment', 'id': 7580}, {'name': 'Blue Yonder Films', 'id': 49126}]",2005-12-16,51053787.0,80.0,Released,Armed And Dangerously Dumb.,6.0,491.0,60.5,46.0,53.25,3.4257740666666665,0.7080951689925611
51,Be Cool,PG13,29,42,57.0,37,68.13626922,2005,0,0,0,0,1,1,0,0,1,Be Cool,64.66,13.314233,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'Jersey Films', 'id': 216}, {'name': 'Nina Saxon Film Design', 'id': 1693}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",2005-03-04,95226116.0,118.0,Released,Everyone is looking for the next big hit,5.4,296.0,49.5,33.0,41.25,1.053762283018868,0.05101936545389278
52,A Lot Like Love,PG13,41,77,66.0,48,26.63965648,2005,0,0,0,0,1,1,1,0,0,A Lot Like Love,36.6,10.596719,"[{'name': 'Mile High Productions', 'id': 2976}, {'name': 'Kevin Messick Productions', 'id': 2977}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Beacon Pictures', 'id': 10157}]",2005-04-22,42886719.0,107.0,Released,There's nothing better than a great romance... to ruin a perfectly good friendship.,6.5,329.0,71.5,44.5,58.0,0.7278594666666666,-0.3738915900615248
53,Harsh Times,R,48,55,69.0,56,4.07227582,2005,1,0,0,0,0,1,0,0,0,Harsh Times,2.44,7.659357,"[{'name': 'The Weinstein Company', 'id': 308}]",2005-09-11,5967038.0,120.0,Released,Take A Ride To The Edge,6.3,198.0,62.0,52.0,57.0,1.6689654999999999,0.40082644009118223
54,Get Rich or Die Tryin',R,16,70,51.0,45,37.797857,2005,0,0,0,0,0,1,0,0,0,Get Rich or Die Tryin',48.8,9.820229,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'MTV Films', 'id': 746}, {'name': 'Cent Productions Inc.', 'id': 54336}]",2005-11-09,46442528.0,117.0,Released,If You Think You Know the Story...You Don't Know the Man.,6.3,188.0,60.5,30.5,45.5,0.7745462500000001,-0.2910784862750287
55,Deuce Bigalow: European Gigolo,R,9,33,46.0,23,27.328187879999998,2005,0,0,0,0,1,0,0,0,0,Deuce Bigalow: European Gigolo,26.84,5.341117,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Out of the Blue... Entertainment', 'id': 879}, {'name': 'Happy Madison Productions', 'id': 2608}]",2005-08-06,22400154.0,83.0,Released,For the women of Europe... The price of love just got a lot cheaper.,4.6,232.0,39.5,16.0,27.75,1.0181888181818182,0.01786389504286437
56,Dark Water,PG13,46,28,56.0,52,31.07717346,2005,0,0,0,0,0,0,0,1,1,Dark Water,36.6,6.53565,"[{'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Post No Bills Films', 'id': 49696}, {'name': 'Pandemonium Productions', 'id': 49697}]",2005-06-27,25473093.0,105.0,Released,"This Season, The Mystery Of The Darkness Will Consume Your Life",5.3,275.0,42.0,49.0,45.5,0.8491031,-0.17771328358122826
57,The Marine,PG13,20,60,47.0,45,22.425292959999997,2006,1,0,0,0,0,1,0,0,0,The Marine,23.8,6.679168,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Pacific Film and Television Commission', 'id': 4024}, {'name': 'WWE Studios', 'id': 10339}]",2006-10-13,22165608.0,92.0,Released,War is Fine But The Fight Continues,5.0,165.0,53.5,32.5,43.0,0.9422391999999998,-0.06130163126305951
58,A Good Year,PG13,25,65,69.0,47,8.876567,2006,0,0,0,0,1,1,1,0,0,A Good Year,41.65,7.82187,"[{'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'Scott Free Productions', 'id': 1645}]",2006-09-09,42064105.0,118.0,Released,Everything matures... eventually.,6.5,360.0,67.0,36.0,51.5,0.21312285714285714,-3.6921292882710173
